Date,Location,Source,Target,Weight
2013-01-01,"Lincoln, Nebraska, United States",crowdsourcing,Drupal,10
2013-01-01,"Lincoln, Nebraska, United States",crowdsourcing,Gephi,2
2013-01-01,"Lincoln, Nebraska, United States",crowdsourcing,Google Books,3
2013-01-01,"Lincoln, Nebraska, United States",crowdsourcing,TEI,6
2013-01-01,"Lincoln, Nebraska, United States",crowdsourcing,Twitter,7
2013-01-01,"Lincoln, Nebraska, United States",crowdsourcing,Voyant,2
2013-01-01,"Lincoln, Nebraska, United States",crowdsourcing,Voyant Tools,1
2013-01-01,"Lincoln, Nebraska, United States",cultural infrastructure,TEI,6
2013-01-01,"Lincoln, Nebraska, United States",cultural studies,Drupal,6
2013-01-01,"Lincoln, Nebraska, United States",cultural studies,Gephi,17
2013-01-01,"Lincoln, Nebraska, United States",cultural studies,Python,3
2013-01-01,"Lincoln, Nebraska, United States",cultural studies,TEI,51
2013-01-01,"Lincoln, Nebraska, United States",data mining / text mining,Drupal,5
2013-01-01,"Lincoln, Nebraska, United States",data mining / text mining,Gephi,3
2013-01-01,"Lincoln, Nebraska, United States",data mining / text mining,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",data mining / text mining,Python,6
2013-01-01,"Lincoln, Nebraska, United States",data mining / text mining,TEI,18
2013-01-01,"Lincoln, Nebraska, United States",data mining / text mining,Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",data mining / text mining,Voyant,8
2013-01-01,"Lincoln, Nebraska, United States",data mining / text mining,Voyant Tools,2
2013-01-01,"Lincoln, Nebraska, United States",data modeling and architecture including hypothesis-driven modeling,Gephi,17
2013-01-01,"Lincoln, Nebraska, United States",data modeling and architecture including hypothesis-driven modeling,Python,5
2013-01-01,"Lincoln, Nebraska, United States",data modeling and architecture including hypothesis-driven modeling,TEI,17
2013-01-01,"Lincoln, Nebraska, United States",databases & dbms,Drupal,9
2013-01-01,"Lincoln, Nebraska, United States",databases & dbms,Gephi,15
2013-01-01,"Lincoln, Nebraska, United States",databases & dbms,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",databases & dbms,Python,4
2013-01-01,"Lincoln, Nebraska, United States",databases & dbms,TEI,3
2013-01-01,"Lincoln, Nebraska, United States",databases & dbms,Zotero,1
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - facilities,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - facilities,TEI,8
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - facilities,Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - institutional support,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - institutional support,TEI,5
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - institutional support,Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - institutional support,Voyant,2
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - institutional support,Voyant Tools,1
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - nature and significance,Python,1
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - nature and significance,TEI,3
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - nature and significance,Twitter,5
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - nature and significance,Zotero,1
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - pedagogy and curriculum,Python,1
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - pedagogy and curriculum,TEI,9
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - pedagogy and curriculum,Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - pedagogy and curriculum,Voyant,2
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - pedagogy and curriculum,Voyant Tools,2
2013-01-01,"Lincoln, Nebraska, United States",digital humanities - pedagogy and curriculum,Zotero,5
2013-01-01,"Lincoln, Nebraska, United States",digitisation - theory and practice,Drupal,1
2013-01-01,"Lincoln, Nebraska, United States",digitisation - theory and practice,Gephi,2
2013-01-01,"Lincoln, Nebraska, United States",digitisation - theory and practice,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",digitisation - theory and practice,Python,1
2013-01-01,"Lincoln, Nebraska, United States",digitisation - theory and practice,TEI,24
2013-01-01,"Lincoln, Nebraska, United States","digitisation, resource creation, and discovery",Drupal,5
2013-01-01,"Lincoln, Nebraska, United States","digitisation, resource creation, and discovery",Google Books,2
2013-01-01,"Lincoln, Nebraska, United States","digitisation, resource creation, and discovery",Python,1
2013-01-01,"Lincoln, Nebraska, United States","digitisation, resource creation, and discovery",TEI,17
2013-01-01,"Lincoln, Nebraska, United States",encoding - theory and practice,Gephi,1
2013-01-01,"Lincoln, Nebraska, United States",encoding - theory and practice,Python,4
2013-01-01,"Lincoln, Nebraska, United States",encoding - theory and practice,TEI,114
2013-01-01,"Lincoln, Nebraska, United States",english studies,TEI,8
2013-01-01,"Lincoln, Nebraska, United States",english studies,Twitter,5
2013-01-01,"Lincoln, Nebraska, United States",film and cinema studies,Gephi,2
2013-01-01,"Lincoln, Nebraska, United States",film and cinema studies,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",film and cinema studies,Python,3
2013-01-01,"Lincoln, Nebraska, United States",film and cinema studies,TEI,1
2013-01-01,"Lincoln, Nebraska, United States",folklore and oral history,Drupal,5
2013-01-01,"Lincoln, Nebraska, United States",folklore and oral history,TEI,1
2013-01-01,"Lincoln, Nebraska, United States",french studies,Python,1
2013-01-01,"Lincoln, Nebraska, United States",french studies,TEI,1
2013-01-01,"Lincoln, Nebraska, United States",gender studies,TEI,7
2013-01-01,"Lincoln, Nebraska, United States",gender studies,Twitter,1
2013-01-01,"Lincoln, Nebraska, United States","genre-specific studies: prose, poetry, drama",TEI,6
2013-01-01,"Lincoln, Nebraska, United States","geospatial analysis, interfaces and technology",Google Books,1
2013-01-01,"Lincoln, Nebraska, United States","geospatial analysis, interfaces and technology",TEI,7
2013-01-01,"Lincoln, Nebraska, United States",german studies,Neatline,2
2013-01-01,"Lincoln, Nebraska, United States",german studies,TEI,2
2013-01-01,"Lincoln, Nebraska, United States",historical studies,Gephi,15
2013-01-01,"Lincoln, Nebraska, United States",historical studies,Neatline,2
2013-01-01,"Lincoln, Nebraska, United States",historical studies,Python,4
2013-01-01,"Lincoln, Nebraska, United States",historical studies,TEI,15
2013-01-01,"Lincoln, Nebraska, United States",historical studies,Twitter,4
2013-01-01,"Lincoln, Nebraska, United States",history of humanities computing/digital humanities,TEI,1
2013-01-01,"Lincoln, Nebraska, United States",hypertext,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",hypertext,TEI,1
2013-01-01,"Lincoln, Nebraska, United States",hypertext,Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",image processing,Gephi,1
2013-01-01,"Lincoln, Nebraska, United States",image processing,TEI,3
2013-01-01,"Lincoln, Nebraska, United States",information architecture,Drupal,5
2013-01-01,"Lincoln, Nebraska, United States",information architecture,Gephi,1
2013-01-01,"Lincoln, Nebraska, United States",information architecture,Google Books,2
2013-01-01,"Lincoln, Nebraska, United States",information architecture,Python,3
2013-01-01,"Lincoln, Nebraska, United States",information architecture,TEI,5
2013-01-01,"Lincoln, Nebraska, United States",information architecture,Zotero,5
2013-01-01,"Lincoln, Nebraska, United States",information retrieval,Drupal,4
2013-01-01,"Lincoln, Nebraska, United States",information retrieval,Google Books,3
2013-01-01,"Lincoln, Nebraska, United States",information retrieval,Python,1
2013-01-01,"Lincoln, Nebraska, United States",information retrieval,TEI,18
2013-01-01,"Lincoln, Nebraska, United States",information retrieval,Twitter,3
2013-01-01,"Lincoln, Nebraska, United States",information retrieval,Zotero,2
2013-01-01,"Lincoln, Nebraska, United States",interdisciplinary collaboration,Drupal,5
2013-01-01,"Lincoln, Nebraska, United States",interdisciplinary collaboration,Neatline,12
2013-01-01,"Lincoln, Nebraska, United States",interdisciplinary collaboration,Python,1
2013-01-01,"Lincoln, Nebraska, United States",interdisciplinary collaboration,TEI,16
2013-01-01,"Lincoln, Nebraska, United States",interdisciplinary collaboration,Twitter,3
2013-01-01,"Lincoln, Nebraska, United States",interdisciplinary collaboration,Voyant,8
2013-01-01,"Lincoln, Nebraska, United States",interdisciplinary collaboration,Voyant Tools,2
2013-01-01,"Lincoln, Nebraska, United States",interdisciplinary collaboration,Zotero,3
2013-01-01,"Lincoln, Nebraska, United States",interface and user experience design,Drupal,6
2013-01-01,"Lincoln, Nebraska, United States",interface and user experience design,Python,1
2013-01-01,"Lincoln, Nebraska, United States",interface and user experience design,TEI,74
2013-01-01,"Lincoln, Nebraska, United States",interface and user experience design,Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",interface and user experience design,Voyant,6
2013-01-01,"Lincoln, Nebraska, United States",interface and user experience design,WordPress,6
2013-01-01,"Lincoln, Nebraska, United States",interface and user experience design,Zotero,1
2013-01-01,"Lincoln, Nebraska, United States",internet / world wide web,Drupal,2
2013-01-01,"Lincoln, Nebraska, United States",internet / world wide web,Gephi,3
2013-01-01,"Lincoln, Nebraska, United States",internet / world wide web,TEI,6
2013-01-01,"Lincoln, Nebraska, United States",internet / world wide web,Twitter,10
2013-01-01,"Lincoln, Nebraska, United States",internet / world wide web,Zotero,2
2013-01-01,"Lincoln, Nebraska, United States",knowledge representation,Drupal,4
2013-01-01,"Lincoln, Nebraska, United States",knowledge representation,Gephi,1
2013-01-01,"Lincoln, Nebraska, United States",knowledge representation,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",knowledge representation,Python,3
2013-01-01,"Lincoln, Nebraska, United States",knowledge representation,TEI,7
2013-01-01,"Lincoln, Nebraska, United States",knowledge representation,Twitter,2
2013-01-01,"Lincoln, Nebraska, United States",knowledge representation,Voyant,6
2013-01-01,"Lincoln, Nebraska, United States",knowledge representation,Zotero,1
2013-01-01,"Lincoln, Nebraska, United States",law,Python,1
2013-01-01,"Lincoln, Nebraska, United States",lexicography,TEI,1
2013-01-01,"Lincoln, Nebraska, United States",linguistics,Google Books,2
2013-01-01,"Lincoln, Nebraska, United States",linguistics,Python,1
2013-01-01,"Lincoln, Nebraska, United States",linguistics,TEI,4
2013-01-01,"Lincoln, Nebraska, United States",linking and annotation,Drupal,4
2013-01-01,"Lincoln, Nebraska, United States",linking and annotation,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",linking and annotation,Python,1
2013-01-01,"Lincoln, Nebraska, United States",linking and annotation,TEI,11
2013-01-01,"Lincoln, Nebraska, United States",linking and annotation,Zotero,4
2013-01-01,"Lincoln, Nebraska, United States",literary studies,Gephi,15
2013-01-01,"Lincoln, Nebraska, United States",literary studies,Neatline,2
2013-01-01,"Lincoln, Nebraska, United States",literary studies,Python,4
2013-01-01,"Lincoln, Nebraska, United States",literary studies,TEI,42
2013-01-01,"Lincoln, Nebraska, United States",literary studies,Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",machine translation,Gephi,1
2013-01-01,"Lincoln, Nebraska, United States",machine translation,Python,3
2013-01-01,"Lincoln, Nebraska, United States",maps and mapping,Drupal,7
2013-01-01,"Lincoln, Nebraska, United States",maps and mapping,Google Books,2
2013-01-01,"Lincoln, Nebraska, United States",maps and mapping,TEI,12
2013-01-01,"Lincoln, Nebraska, United States",media studies,Gephi,2
2013-01-01,"Lincoln, Nebraska, United States",media studies,Python,1
2013-01-01,"Lincoln, Nebraska, United States",medieval studies,Drupal,1
2013-01-01,"Lincoln, Nebraska, United States",medieval studies,TEI,48
2013-01-01,"Lincoln, Nebraska, United States",medieval studies,Voyant,2
2013-01-01,"Lincoln, Nebraska, United States",medieval studies,Voyant Tools,2
2013-01-01,"Lincoln, Nebraska, United States",metadata,Drupal,4
2013-01-01,"Lincoln, Nebraska, United States",metadata,Gephi,15
2013-01-01,"Lincoln, Nebraska, United States",metadata,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",metadata,Python,4
2013-01-01,"Lincoln, Nebraska, United States",metadata,TEI,35
2013-01-01,"Lincoln, Nebraska, United States",metadata,Twitter,3
2013-01-01,"Lincoln, Nebraska, United States",metadata,Zotero,6
2013-01-01,"Lincoln, Nebraska, United States",mobile applications and mobile design,Drupal,2
2013-01-01,"Lincoln, Nebraska, United States",mobile applications and mobile design,Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",mobile applications and mobile design,Voyant,6
2013-01-01,"Lincoln, Nebraska, United States",mobile applications and mobile design,Zotero,1
2013-01-01,"Lincoln, Nebraska, United States",multilingual / multicultural approaches,TEI,1
2013-01-01,"Lincoln, Nebraska, United States",music,Google Books,2
2013-01-01,"Lincoln, Nebraska, United States",natural language processing,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",natural language processing,Python,1
2013-01-01,"Lincoln, Nebraska, United States",natural language processing,TEI,6
2013-01-01,"Lincoln, Nebraska, United States","networks, relationships, graphs",Drupal,6
2013-01-01,"Lincoln, Nebraska, United States","networks, relationships, graphs",Python,2
2013-01-01,"Lincoln, Nebraska, United States","networks, relationships, graphs",TEI,1
2013-01-01,"Lincoln, Nebraska, United States","networks, relationships, graphs",Twitter,5
2013-01-01,"Lincoln, Nebraska, United States","networks, relationships, graphs",Zotero,1
2013-01-01,"Lincoln, Nebraska, United States",ontologies,Drupal,5
2013-01-01,"Lincoln, Nebraska, United States",ontologies,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",ontologies,TEI,65
2013-01-01,"Lincoln, Nebraska, United States",other,Gephi,1
2013-01-01,"Lincoln, Nebraska, United States",other,TEI,3
2013-01-01,"Lincoln, Nebraska, United States",other,Twitter,3
2013-01-01,"Lincoln, Nebraska, United States",other,WordPress,6
2013-01-01,"Lincoln, Nebraska, United States",other,Zotero,1
2013-01-01,"Lincoln, Nebraska, United States",philology,TEI,1
2013-01-01,"Lincoln, Nebraska, United States",philosophy,Drupal,1
2013-01-01,"Lincoln, Nebraska, United States",philosophy,TEI,48
2013-01-01,"Lincoln, Nebraska, United States",philosophy,Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",programming,Drupal,5
2013-01-01,"Lincoln, Nebraska, United States",programming,Gephi,1
2013-01-01,"Lincoln, Nebraska, United States",programming,Python,3
2013-01-01,"Lincoln, Nebraska, United States",programming,TEI,1
2013-01-01,"Lincoln, Nebraska, United States",programming,Voyant,6
2013-01-01,"Lincoln, Nebraska, United States",programming,WordPress,6
2013-01-01,"Lincoln, Nebraska, United States","project design, organization, management",Gephi,1
2013-01-01,"Lincoln, Nebraska, United States","project design, organization, management",Neatline,12
2013-01-01,"Lincoln, Nebraska, United States","project design, organization, management",Python,3
2013-01-01,"Lincoln, Nebraska, United States","project design, organization, management",TEI,9
2013-01-01,"Lincoln, Nebraska, United States","project design, organization, management",Twitter,1
2013-01-01,"Lincoln, Nebraska, United States","project design, organization, management",Zotero,5
2013-01-01,"Lincoln, Nebraska, United States",publishing and delivery systems,Drupal,6
2013-01-01,"Lincoln, Nebraska, United States",publishing and delivery systems,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",publishing and delivery systems,TEI,58
2013-01-01,"Lincoln, Nebraska, United States",publishing and delivery systems,Twitter,5
2013-01-01,"Lincoln, Nebraska, United States",publishing and delivery systems,Zotero,4
2013-01-01,"Lincoln, Nebraska, United States",query languages,Gephi,1
2013-01-01,"Lincoln, Nebraska, United States",query languages,Python,3
2013-01-01,"Lincoln, Nebraska, United States",renaissance studies,TEI,11
2013-01-01,"Lincoln, Nebraska, United States",renaissance studies,Twitter,4
2013-01-01,"Lincoln, Nebraska, United States",scholarly editing,Drupal,1
2013-01-01,"Lincoln, Nebraska, United States",scholarly editing,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",scholarly editing,TEI,98
2013-01-01,"Lincoln, Nebraska, United States",scholarly editing,Twitter,6
2013-01-01,"Lincoln, Nebraska, United States",scholarly editing,Voyant,6
2013-01-01,"Lincoln, Nebraska, United States",scholarly editing,Zotero,6
2013-01-01,"Lincoln, Nebraska, United States",semantic web,Drupal,5
2013-01-01,"Lincoln, Nebraska, United States",semantic web,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",semantic web,TEI,51
2013-01-01,"Lincoln, Nebraska, United States",semantic web,Twitter,2
2013-01-01,"Lincoln, Nebraska, United States",semantic web,Zotero,6
2013-01-01,"Lincoln, Nebraska, United States",social media,Gephi,3
2013-01-01,"Lincoln, Nebraska, United States",social media,TEI,2
2013-01-01,"Lincoln, Nebraska, United States",social media,Twitter,10
2013-01-01,"Lincoln, Nebraska, United States",social media,Zotero,2
2013-01-01,"Lincoln, Nebraska, United States",software design and development,Drupal,8
2013-01-01,"Lincoln, Nebraska, United States",software design and development,Gephi,1
2013-01-01,"Lincoln, Nebraska, United States",software design and development,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",software design and development,Neatline,12
2013-01-01,"Lincoln, Nebraska, United States",software design and development,Python,4
2013-01-01,"Lincoln, Nebraska, United States",software design and development,TEI,67
2013-01-01,"Lincoln, Nebraska, United States",software design and development,Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",software design and development,Voyant,6
2013-01-01,"Lincoln, Nebraska, United States",software design and development,Zotero,1
2013-01-01,"Lincoln, Nebraska, United States",spanish and spanish american studies,Gephi,14
2013-01-01,"Lincoln, Nebraska, United States",spanish and spanish american studies,Python,3
2013-01-01,"Lincoln, Nebraska, United States",spanish and spanish american studies,TEI,2
2013-01-01,"Lincoln, Nebraska, United States","spatio-temporal modeling, analysis and visualisation",Gephi,2
2013-01-01,"Lincoln, Nebraska, United States",standards and interoperability,Python,1
2013-01-01,"Lincoln, Nebraska, United States",standards and interoperability,TEI,68
2013-01-01,"Lincoln, Nebraska, United States",stylistics and stylometry,Python,1
2013-01-01,"Lincoln, Nebraska, United States",stylistics and stylometry,TEI,1
2013-01-01,"Lincoln, Nebraska, United States",teaching and pedagogy,Drupal,6
2013-01-01,"Lincoln, Nebraska, United States",teaching and pedagogy,Neatline,2
2013-01-01,"Lincoln, Nebraska, United States",teaching and pedagogy,TEI,5
2013-01-01,"Lincoln, Nebraska, United States",teaching and pedagogy,Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",teaching and pedagogy,Voyant,2
2013-01-01,"Lincoln, Nebraska, United States",teaching and pedagogy,Voyant Tools,2
2013-01-01,"Lincoln, Nebraska, United States",teaching and pedagogy,Zotero,1
2013-01-01,"Lincoln, Nebraska, United States",text analysis,Drupal,1
2013-01-01,"Lincoln, Nebraska, United States",text analysis,Gephi,3
2013-01-01,"Lincoln, Nebraska, United States",text analysis,Python,4
2013-01-01,"Lincoln, Nebraska, United States",text analysis,TEI,54
2013-01-01,"Lincoln, Nebraska, United States",text analysis,Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",text analysis,Voyant,21
2013-01-01,"Lincoln, Nebraska, United States",text analysis,Voyant Tools,3
2013-01-01,"Lincoln, Nebraska, United States",text generation,TEI,19
2013-01-01,"Lincoln, Nebraska, United States",user studies / user needs,Drupal,6
2013-01-01,"Lincoln, Nebraska, United States",user studies / user needs,Gephi,2
2013-01-01,"Lincoln, Nebraska, United States",user studies / user needs,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",user studies / user needs,Neatline,12
2013-01-01,"Lincoln, Nebraska, United States",user studies / user needs,TEI,24
2013-01-01,"Lincoln, Nebraska, United States",user studies / user needs,Voyant,6
2013-01-01,"Lincoln, Nebraska, United States",user studies / user needs,WordPress,6
2013-01-01,"Lincoln, Nebraska, United States",user studies / user needs,Zotero,1
2013-01-01,"Lincoln, Nebraska, United States",virtual and augmented reality,Drupal,2
2013-01-01,"Lincoln, Nebraska, United States",visualization,Gephi,17
2013-01-01,"Lincoln, Nebraska, United States",visualization,Google Books,3
2013-01-01,"Lincoln, Nebraska, United States",visualization,Python,3
2013-01-01,"Lincoln, Nebraska, United States",visualization,TEI,3
2013-01-01,"Lincoln, Nebraska, United States",visualization,Voyant,6
2013-01-01,"Lincoln, Nebraska, United States",xml,Drupal,1
2013-01-01,"Lincoln, Nebraska, United States",xml,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",xml,Python,1
2013-01-01,"Lincoln, Nebraska, United States",xml,TEI,149
2013-01-01,"Lincoln, Nebraska, United States",xml,Voyant,6
2014-01-01,"Lausanne, Switzerland","GLAM: galleries, libraries, archives, museums",TEI,3
2014-01-01,"Lausanne, Switzerland","GLAM: galleries, libraries, archives, museums",Twitter,3
2014-01-01,"Lausanne, Switzerland","GLAM: galleries, libraries, archives, museums",WordPress,2
2014-01-01,"Lausanne, Switzerland","GLAM: galleries, libraries, archives, museums",Zotero,3
2014-01-01,"Lausanne, Switzerland",anthropology,Gephi,1
2014-01-01,"Lausanne, Switzerland",anthropology,TEI,1
2014-01-01,"Lausanne, Switzerland",anthropology,Zotero,1
2014-01-01,"Lausanne, Switzerland",archaeology,Neatline,1
2014-01-01,"Lausanne, Switzerland",archaeology,TEI,6
2014-01-01,"Lausanne, Switzerland",archaeology,Twitter,1
2014-01-01,"Lausanne, Switzerland","archives, repositories, sustainability and preservation",Drupal,4
2014-01-01,"Lausanne, Switzerland","archives, repositories, sustainability and preservation",Google Books,5
2014-01-01,"Lausanne, Switzerland","archives, repositories, sustainability and preservation",Python,1
2014-01-01,"Lausanne, Switzerland","archives, repositories, sustainability and preservation",Scalar,3
2014-01-01,"Lausanne, Switzerland","archives, repositories, sustainability and preservation",TEI,32
2014-01-01,"Lausanne, Switzerland","archives, repositories, sustainability and preservation",Twitter,1
2014-01-01,"Lausanne, Switzerland","archives, repositories, sustainability and preservation",Voyant,2
2014-01-01,"Lausanne, Switzerland","archives, repositories, sustainability and preservation",Voyant Tools,2
2014-01-01,"Lausanne, Switzerland",art history,Google Books,2
2014-01-01,"Lausanne, Switzerland",art history,Neatline,1
2014-01-01,"Lausanne, Switzerland",art history,TEI,7
2014-01-01,"Lausanne, Switzerland",art history,Twitter,1
2014-01-01,"Lausanne, Switzerland",asian studies,Neatline,1
2014-01-01,"Lausanne, Switzerland",asian studies,TEI,19
2014-01-01,"Lausanne, Switzerland","audio, video, multimedia",Drupal,2
2014-01-01,"Lausanne, Switzerland","audio, video, multimedia",Scalar,3
2014-01-01,"Lausanne, Switzerland","audio, video, multimedia",TEI,6
2014-01-01,"Lausanne, Switzerland","audio, video, multimedia",Twitter,1
2014-01-01,"Lausanne, Switzerland","audio, video, multimedia",Voyant,1
2014-01-01,"Lausanne, Switzerland",authorship attribution / authority,TEI,2
2014-01-01,"Lausanne, Switzerland",bibliographic methods / textual studies,Google Books,2
2014-01-01,"Lausanne, Switzerland",bibliographic methods / textual studies,Python,1
2014-01-01,"Lausanne, Switzerland",bibliographic methods / textual studies,TEI,13
2014-01-01,"Lausanne, Switzerland",bibliographic methods / textual studies,Voyant,3
2014-01-01,"Lausanne, Switzerland",bibliographic methods / textual studies,Voyant Tools,3
2014-01-01,"Lausanne, Switzerland",classical studies,Google Books,1
2014-01-01,"Lausanne, Switzerland",classical studies,Neatline,1
2014-01-01,"Lausanne, Switzerland",classical studies,Python,1
2014-01-01,"Lausanne, Switzerland",classical studies,TEI,1
2014-01-01,"Lausanne, Switzerland",classical studies,Twitter,1
2014-01-01,"Lausanne, Switzerland",concording and indexing,Drupal,1
2014-01-01,"Lausanne, Switzerland",concording and indexing,TEI,8
2014-01-01,"Lausanne, Switzerland",concording and indexing,Voyant,4
2014-01-01,"Lausanne, Switzerland",concording and indexing,Voyant Tools,4
2014-01-01,"Lausanne, Switzerland",content analysis,Gephi,3
2014-01-01,"Lausanne, Switzerland",content analysis,Neatline,1
2014-01-01,"Lausanne, Switzerland",content analysis,Python,1
2014-01-01,"Lausanne, Switzerland",content analysis,TEI,17
2014-01-01,"Lausanne, Switzerland",content analysis,Twitter,1
2014-01-01,"Lausanne, Switzerland",content analysis,Voyant,1
