Source,Target,Date,Location,Weight,Latitude,Longitude,Coordinates
Zotero,TEI,1/1/2018 0:00:00,"Mexico City, Mexico",56,19.4326077,-99.133208,"19.4326077, -99.133208"
Zotero,TEI,1/1/2019 0:00:00,"Utrecht, Netherlands",281,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
Zotero,TEI,1/1/2022 0:00:00,"Tokyo, Japan",104,35.6764225,139.650027,"35.6764225, 139.650027"
Zotero,Twitter,1/1/2009 0:00:00,"College Park, Maryland, United States",38,38.9896967,-76.93776,"38.9896967, -76.93776"
Zotero,Twitter,1/1/2010 0:00:00,"London, England, United Kingdom",22,51.5072178,-0.1275862,"51.5072178, -0.1275862"
Zotero,Twitter,1/1/2011 0:00:00,"Stanford, California, United States",25,37.424106,-122.1660756,"37.4241059999999, -122.1660756"
Zotero,Twitter,1/1/2012 0:00:00,"Hamburg, Germany",4,53.5488282,9.9871703,"53.5488282, 9.98717029999999"
Zotero,Twitter,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",23,40.813616,-96.7025955,"40.813616, -96.7025955"
Zotero,Twitter,1/1/2014 0:00:00,"Lausanne, Switzerland",17,46.5196535,6.6322734,"46.5196535, 6.6322734"
Zotero,Twitter,1/1/2015 0:00:00,"Sydney, Australia",26,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
Zotero,Twitter,1/1/2016 0:00:00,"Kraków, Poland",58,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
Zotero,Twitter,1/1/2017 0:00:00,"Montréal, Canada",50,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
Zotero,Twitter,1/1/2018 0:00:00,"Mexico City, Mexico",72,19.4326077,-99.133208,"19.4326077, -99.133208"
Zotero,Twitter,1/1/2019 0:00:00,"Utrecht, Netherlands",2,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
Zotero,Twitter,1/1/2022 0:00:00,"Tokyo, Japan",19,35.6764225,139.650027,"35.6764225, 139.650027"
Zotero,Voyant,1/1/2012 0:00:00,"Hamburg, Germany",13,53.5488282,9.9871703,"53.5488282, 9.98717029999999"
Zotero,Voyant,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",48,40.813616,-96.7025955,"40.813616, -96.7025955"
Zotero,Voyant,1/1/2014 0:00:00,"Lausanne, Switzerland",44,46.5196535,6.6322734,"46.5196535, 6.6322734"
Zotero,Voyant,1/1/2015 0:00:00,"Sydney, Australia",43,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
Zotero,Voyant,1/1/2016 0:00:00,"Kraków, Poland",22,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
Zotero,Voyant,1/1/2017 0:00:00,"Montréal, Canada",36,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
Zotero,Voyant,1/1/2018 0:00:00,"Mexico City, Mexico",7,19.4326077,-99.133208,"19.4326077, -99.133208"
Zotero,Voyant,1/1/2019 0:00:00,"Utrecht, Netherlands",10,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
Zotero,Voyant,1/1/2022 0:00:00,"Tokyo, Japan",34,35.6764225,139.650027,"35.6764225, 139.650027"
Zotero,Voyant Tools,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",10,40.813616,-96.7025955,"40.813616, -96.7025955"
Zotero,Voyant Tools,1/1/2014 0:00:00,"Lausanne, Switzerland",12,46.5196535,6.6322734,"46.5196535, 6.6322734"
Zotero,Voyant Tools,1/1/2015 0:00:00,"Sydney, Australia",15,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
Zotero,Voyant Tools,1/1/2016 0:00:00,"Kraków, Poland",14,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
Zotero,Voyant Tools,1/1/2017 0:00:00,"Montréal, Canada",9,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
Zotero,Voyant Tools,1/1/2018 0:00:00,"Mexico City, Mexico",7,19.4326077,-99.133208,"19.4326077, -99.133208"
Zotero,Voyant Tools,1/1/2019 0:00:00,"Utrecht, Netherlands",7,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
Zotero,Voyant Tools,1/1/2022 0:00:00,"Tokyo, Japan",14,35.6764225,139.650027,"35.6764225, 139.650027"
Zotero,WordPress,1/1/2009 0:00:00,"College Park, Maryland, United States",47,38.9896967,-76.93776,"38.9896967, -76.93776"
Zotero,WordPress,1/1/2010 0:00:00,"London, England, United Kingdom",6,51.5072178,-0.1275862,"51.5072178, -0.1275862"
Zotero,WordPress,1/1/2011 0:00:00,"Stanford, California, United States",7,37.424106,-122.1660756,"37.4241059999999, -122.1660756"
