Date,Location,Source,Target,Weight
1997-01-01,"Kingston, Ontario, Canada",TEI,education,1
1997-01-01,"Kingston, Ontario, Canada",TEI,electronic publishing,2
1997-01-01,"Kingston, Ontario, Canada",TEI,encoding,5
1997-01-01,"Kingston, Ontario, Canada",TEI,hypertext,8
1997-01-01,"Kingston, Ontario, Canada",TEI,labor,1
1997-01-01,"Kingston, Ontario, Canada",TEI,linguistic corpora,1
1997-01-01,"Kingston, Ontario, Canada",TEI,literary history,7
1997-01-01,"Kingston, Ontario, Canada",TEI,management,1
1997-01-01,"Kingston, Ontario, Canada",TEI,markup,1
1997-01-01,"Kingston, Ontario, Canada",TEI,multimedia,1
1997-01-01,"Kingston, Ontario, Canada",TEI,names,8
1997-01-01,"Kingston, Ontario, Canada",TEI,object-oriented databases,2
1997-01-01,"Kingston, Ontario, Canada",TEI,resources,1
1997-01-01,"Kingston, Ontario, Canada",TEI,sgml,16
1997-01-01,"Kingston, Ontario, Canada",TEI,statistical analysis,1
1997-01-01,"Kingston, Ontario, Canada",TEI,structured text databases,1
1997-01-01,"Kingston, Ontario, Canada",TEI,stylometry,1
1997-01-01,"Kingston, Ontario, Canada",TEI,tei,8
1997-01-01,"Kingston, Ontario, Canada",TEI,text encoding,4
1997-01-01,"Kingston, Ontario, Canada",TEI,text markup,2
1997-01-01,"Kingston, Ontario, Canada",TEI,tlh,8
1997-01-01,"Kingston, Ontario, Canada",TEI,wwp,8
1998-01-01,"Debrecen, Hungary",TEI,academic english,1
1998-01-01,"Debrecen, Hungary",TEI,archives,3
1998-01-01,"Debrecen, Hungary",TEI,automatic indexing,1
1998-01-01,"Debrecen, Hungary",TEI,combining sgml and wysiwyg,1
1998-01-01,"Debrecen, Hungary",TEI,computational lexicography,1
1998-01-01,"Debrecen, Hungary",TEI,computer illiteracy,1
1998-01-01,"Debrecen, Hungary",TEI,cooperation,3
1998-01-01,"Debrecen, Hungary",TEI,database,3
1998-01-01,"Debrecen, Hungary",TEI,databases,1
1998-01-01,"Debrecen, Hungary",TEI,digital archive,2
1998-01-01,"Debrecen, Hungary",TEI,encoding,3
1998-01-01,"Debrecen, Hungary",TEI,encyclopedia,3
1998-01-01,"Debrecen, Hungary",TEI,evaluation,5
1998-01-01,"Debrecen, Hungary",TEI,hypermedia,2
1998-01-01,"Debrecen, Hungary",TEI,inferno,2
1998-01-01,"Debrecen, Hungary",TEI,internet,2
1998-01-01,"Debrecen, Hungary",TEI,lexicography,2
1998-01-01,"Debrecen, Hungary",TEI,literature,3
1998-01-01,"Debrecen, Hungary",TEI,markup,3
1998-01-01,"Debrecen, Hungary",TEI,online seminars,2
1998-01-01,"Debrecen, Hungary",TEI,sgml,2
1998-01-01,"Debrecen, Hungary",TEI,software development,2
1998-01-01,"Debrecen, Hungary",TEI,tei,3
1998-01-01,"Debrecen, Hungary",TEI,tei xml,54
1998-01-01,"Debrecen, Hungary",TEI,transcription,54
1998-01-01,"Debrecen, Hungary",TEI,writing system declaration,7
2001-01-01,"New York, NY, United States",TEI,animation,2
2001-01-01,"New York, NY, United States",TEI,authorship,2
2001-01-01,"New York, NY, United States",TEI,automatic learning,14
2001-01-01,"New York, NY, United States",TEI,automatic xml mark-up,4
2001-01-01,"New York, NY, United States",TEI,buddhist text,9
2001-01-01,"New York, NY, United States",TEI,cataloguing systems,7
2001-01-01,"New York, NY, United States",TEI,chinese documents,9
2001-01-01,"New York, NY, United States",TEI,corpus,3
2001-01-01,"New York, NY, United States",TEI,cultural history,2
2001-01-01,"New York, NY, United States",TEI,dictionaries,2
2001-01-01,"New York, NY, United States",TEI,digital archive,3
2001-01-01,"New York, NY, United States",TEI,digital libraries,22
2001-01-01,"New York, NY, United States",TEI,digital library,2
2001-01-01,"New York, NY, United States",TEI,digitization,2
2001-01-01,"New York, NY, United States",TEI,document imaging,2
2001-01-01,"New York, NY, United States",TEI,e-journal,10
2001-01-01,"New York, NY, United States",TEI,ead,1
2001-01-01,"New York, NY, United States",TEI,ebooks,8
2001-01-01,"New York, NY, United States",TEI,education,2
2001-01-01,"New York, NY, United States",TEI,educational material,2
2001-01-01,"New York, NY, United States",TEI,encoding,1
2001-01-01,"New York, NY, United States",TEI,history,1
2001-01-01,"New York, NY, United States",TEI,humanities,2
2001-01-01,"New York, NY, United States",TEI,interactive,2
2001-01-01,"New York, NY, United States",TEI,lexical database,2
2001-01-01,"New York, NY, United States",TEI,literature,3
2001-01-01,"New York, NY, United States",TEI,machine learning,4
2001-01-01,"New York, NY, United States",TEI,markup,25
2001-01-01,"New York, NY, United States",TEI,markup language,9
2001-01-01,"New York, NY, United States",TEI,markup theory,5
2001-01-01,"New York, NY, United States",TEI,medieval italian,2
2001-01-01,"New York, NY, United States",TEI,motion,2
2001-01-01,"New York, NY, United States",TEI,multilingual,10
2001-01-01,"New York, NY, United States",TEI,multivariate analysis,2
2001-01-01,"New York, NY, United States",TEI,museum informatics,2
2001-01-01,"New York, NY, United States",TEI,music,2
2001-01-01,"New York, NY, United States",TEI,nlp resources,2
2001-01-01,"New York, NY, United States",TEI,parsing web sites with linguistic resources: glossanet,1
2001-01-01,"New York, NY, United States",TEI,pattern,2
2001-01-01,"New York, NY, United States",TEI,pedagogy,2
2001-01-01,"New York, NY, United States",TEI,philosophical text-analysis,3
2001-01-01,"New York, NY, United States",TEI,phraseology,2
2001-01-01,"New York, NY, United States",TEI,politics,1
2001-01-01,"New York, NY, United States",TEI,remote,2
2001-01-01,"New York, NY, United States",TEI,scholarly letter editing,3
2001-01-01,"New York, NY, United States",TEI,self-organizing maps,4
2001-01-01,"New York, NY, United States",TEI,semantic concordances,3
2001-01-01,"New York, NY, United States",TEI,sgml-encoding,1
2001-01-01,"New York, NY, United States",TEI,software,5
2001-01-01,"New York, NY, United States",TEI,spell-checking,2
2001-01-01,"New York, NY, United States",TEI,statistics,2
2001-01-01,"New York, NY, United States",TEI,stylistics metre italian,1
2001-01-01,"New York, NY, United States",TEI,tei,47
2001-01-01,"New York, NY, United States",TEI,text classification,2
2001-01-01,"New York, NY, United States",TEI,text encoding,20
2001-01-01,"New York, NY, United States",TEI,theory,1
2001-01-01,"New York, NY, United States",TEI,underdot,3
2001-01-01,"New York, NY, United States",TEI,unicode,3
2001-01-01,"New York, NY, United States",TEI,vector space representation,2
2001-01-01,"New York, NY, United States",TEI,verse encoding,15
2001-01-01,"New York, NY, United States",TEI,verse formalisms in xml/tei,15
2001-01-01,"New York, NY, United States",TEI,vision,2
2001-01-01,"New York, NY, United States",TEI,visual literacy,2
2001-01-01,"New York, NY, United States",TEI,website,19
2001-01-01,"New York, NY, United States",TEI,wordnet,3
2001-01-01,"New York, NY, United States",TEI,workflow,8
2001-01-01,"New York, NY, United States",TEI,world wide web,2
2001-01-01,"New York, NY, United States",TEI,xml,17
2001-01-01,"New York, NY, United States",TEI,xml database,7
2001-01-01,"New York, NY, United States",TEI,xsl,19
2001-01-01,"New York, NY, United States",TEI,xslt,1
2004-01-01,"Gothenborg, Sweden",TEI,databases,11
2004-01-01,"Gothenborg, Sweden",TEI,publishing,2
2004-01-01,"Gothenborg, Sweden",TEI,tei,11
2004-01-01,"Gothenborg, Sweden",TEI,xml,11
2004-01-01,"Gothenborg, Sweden",TEI,xml databases,2
2013-01-01,"Lincoln, Nebraska, United States",Drupal,aids memorial quilt,5
2013-01-01,"Lincoln, Nebraska, United States",Drupal,annotation,6
2013-01-01,"Lincoln, Nebraska, United States",Drupal,citation networks,4
2013-01-01,"Lincoln, Nebraska, United States",Drupal,community-sourcing,5
2013-01-01,"Lincoln, Nebraska, United States",Drupal,content management system,2
2013-01-01,"Lincoln, Nebraska, United States",Drupal,crowdsourcing,1
2013-01-01,"Lincoln, Nebraska, United States",Drupal,document linking,6
2013-01-01,"Lincoln, Nebraska, United States",Drupal,drupal,9
2013-01-01,"Lincoln, Nebraska, United States",Drupal,islandora,1
2013-01-01,"Lincoln, Nebraska, United States",Drupal,linked data,1
2013-01-01,"Lincoln, Nebraska, United States",Drupal,linked open data,4
2013-01-01,"Lincoln, Nebraska, United States",Drupal,mobile augmented reality,2
2013-01-01,"Lincoln, Nebraska, United States",Drupal,mobile web,2
2013-01-01,"Lincoln, Nebraska, United States",Drupal,mobile web app,5
2013-01-01,"Lincoln, Nebraska, United States",Drupal,platform,2
2013-01-01,"Lincoln, Nebraska, United States",Drupal,preservation,2
2013-01-01,"Lincoln, Nebraska, United States",Drupal,public art,5
2013-01-01,"Lincoln, Nebraska, United States",Drupal,rdf,1
2013-01-01,"Lincoln, Nebraska, United States",Drupal,recommender system,6
2013-01-01,"Lincoln, Nebraska, United States",Drupal,remembrance,2
2013-01-01,"Lincoln, Nebraska, United States",Drupal,semantic web,5
2013-01-01,"Lincoln, Nebraska, United States",Drupal,serialized fiction,1
2013-01-01,"Lincoln, Nebraska, United States",Drupal,tei,1
2013-01-01,"Lincoln, Nebraska, United States",Drupal,temporal,2
2013-01-01,"Lincoln, Nebraska, United States",Drupal,text analysis,1
2013-01-01,"Lincoln, Nebraska, United States",Drupal,web,2
2013-01-01,"Lincoln, Nebraska, United States",Drupal,world wide web,2
2013-01-01,"Lincoln, Nebraska, United States",Gephi,archaeology,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,big culture,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,civil war,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,clustering,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,computational archaeology,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,crowdsourcing,2
2013-01-01,"Lincoln, Nebraska, United States",Gephi,data visualization,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,database,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,digital archaeology,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,face recognition,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,fan studies,2
2013-01-01,"Lincoln, Nebraska, United States",Gephi,gephi,14
2013-01-01,"Lincoln, Nebraska, United States",Gephi,hispanic studies,14
2013-01-01,"Lincoln, Nebraska, United States",Gephi,history of art,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,human emotions,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,information visualization,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,literary analysis,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,online communities,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,programming,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,publication,14
2013-01-01,"Lincoln, Nebraska, United States",Gephi,serialized fiction,2
2013-01-01,"Lincoln, Nebraska, United States",Gephi,social media,1
2013-01-01,"Lincoln, Nebraska, United States",Gephi,social network analysis,2
2013-01-01,"Lincoln, Nebraska, United States",Gephi,social networks,14
2013-01-01,"Lincoln, Nebraska, United States",Gephi,television studies,2
2013-01-01,"Lincoln, Nebraska, United States",Gephi,text analysis,2
2013-01-01,"Lincoln, Nebraska, United States",Gephi,transatlantic communities,14
2013-01-01,"Lincoln, Nebraska, United States",Google Books,archives,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,bl labs,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,british library,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,citation networks,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,collation,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,data services,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,digital divide,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,digital history,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,digitisation,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,drupal,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,france,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,full-music search,2
2013-01-01,"Lincoln, Nebraska, United States",Google Books,functional programming,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,gis,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,koninklijke bibliotheek,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,linked open data,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,ngram,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,optical music recognition,2
2013-01-01,"Lincoln, Nebraska, United States",Google Books,provenancing,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,semantic web,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,text-text-linking,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,textual analysis,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,user studies,1
2013-01-01,"Lincoln, Nebraska, United States",Google Books,visualization,3
2013-01-01,"Lincoln, Nebraska, United States",Google Books,web application,2
2013-01-01,"Lincoln, Nebraska, United States",Google Books,web services,2
2013-01-01,"Lincoln, Nebraska, United States",Neatline,building,12
2013-01-01,"Lincoln, Nebraska, United States",Neatline,collaboration,12
2013-01-01,"Lincoln, Nebraska, United States",Neatline,feedback loop,12
2013-01-01,"Lincoln, Nebraska, United States",Neatline,geo-spatial annotations,2
2013-01-01,"Lincoln, Nebraska, United States",Neatline,holocaust literature,2
2013-01-01,"Lincoln, Nebraska, United States",Neatline,online bibliography,2
2013-01-01,"Lincoln, Nebraska, United States",Neatline,software,12
2013-01-01,"Lincoln, Nebraska, United States",Neatline,user,12
2013-01-01,"Lincoln, Nebraska, United States",Python,administration,1
2013-01-01,"Lincoln, Nebraska, United States",Python,authorship,1
2013-01-01,"Lincoln, Nebraska, United States",Python,character interaction networks,2
2013-01-01,"Lincoln, Nebraska, United States",Python,character networks,2
2013-01-01,"Lincoln, Nebraska, United States",Python,classifiers,2
2013-01-01,"Lincoln, Nebraska, United States",Python,curriculum,1
2013-01-01,"Lincoln, Nebraska, United States",Python,data visualization,4
2013-01-01,"Lincoln, Nebraska, United States",Python,database,3
2013-01-01,"Lincoln, Nebraska, United States",Python,development,1
2013-01-01,"Lincoln, Nebraska, United States",Python,digging into data,1
2013-01-01,"Lincoln, Nebraska, United States",Python,eighteenth century,1
2013-01-01,"Lincoln, Nebraska, United States",Python,film history,1
2013-01-01,"Lincoln, Nebraska, United States",Python,french classical theater,1
2013-01-01,"Lincoln, Nebraska, United States",Python,genre,1
2013-01-01,"Lincoln, Nebraska, United States",Python,gephi,3
2013-01-01,"Lincoln, Nebraska, United States",Python,hispanic studies,3
2013-01-01,"Lincoln, Nebraska, United States",Python,human rights data analysis,1
2013-01-01,"Lincoln, Nebraska, United States",Python,indexical knowledge,1
2013-01-01,"Lincoln, Nebraska, United States",Python,information visualization,3
2013-01-01,"Lincoln, Nebraska, United States",Python,literary analysis,3
2013-01-01,"Lincoln, Nebraska, United States",Python,literary history,1
2013-01-01,"Lincoln, Nebraska, United States",Python,media history,1
2013-01-01,"Lincoln, Nebraska, United States",Python,movies,2
2013-01-01,"Lincoln, Nebraska, United States",Python,natural language processing,1
2013-01-01,"Lincoln, Nebraska, United States",Python,pegagogy,1
2013-01-01,"Lincoln, Nebraska, United States",Python,plays,2
2013-01-01,"Lincoln, Nebraska, United States",Python,programming,3
2013-01-01,"Lincoln, Nebraska, United States",Python,public domain,1
2013-01-01,"Lincoln, Nebraska, United States",Python,publication,3
2013-01-01,"Lincoln, Nebraska, United States",Python,september 11 2001,1
2013-01-01,"Lincoln, Nebraska, United States",Python,social networks,3
2013-01-01,"Lincoln, Nebraska, United States",Python,stylometry,1
2013-01-01,"Lincoln, Nebraska, United States",Python,text mining,1
2013-01-01,"Lincoln, Nebraska, United States",Python,tool building,1
2013-01-01,"Lincoln, Nebraska, United States",Python,topic modeling,1
2013-01-01,"Lincoln, Nebraska, United States",Python,transatlantic communities,3
2013-01-01,"Lincoln, Nebraska, United States",TEI,access,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,accessiblity,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,administration,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,analysis,15
2013-01-01,"Lincoln, Nebraska, United States",TEI,annotation,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,archaeology,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,arduino,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,atlanta,7
2013-01-01,"Lincoln, Nebraska, United States",TEI,authorship,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,calendars,5
2013-01-01,"Lincoln, Nebraska, United States",TEI,catalogue,3
2013-01-01,"Lincoln, Nebraska, United States",TEI,citation analysis,3
2013-01-01,"Lincoln, Nebraska, United States",TEI,classification,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,collaborative environment,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,collaborative work space,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,collation,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,collation web-application,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,community,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,content management system,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,content management systems,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,conversion,18
2013-01-01,"Lincoln, Nebraska, United States",TEI,corpus,15
2013-01-01,"Lincoln, Nebraska, United States",TEI,corpus annotation,3
2013-01-01,"Lincoln, Nebraska, United States",TEI,crowdsourcing,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,css,42
2013-01-01,"Lincoln, Nebraska, United States",TEI,curriculum,9
2013-01-01,"Lincoln, Nebraska, United States",TEI,dariah-de,6
2013-01-01,"Lincoln, Nebraska, United States",TEI,data modeling,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,dates,5
2013-01-01,"Lincoln, Nebraska, United States",TEI,day of digital humanities,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,design,39
2013-01-01,"Lincoln, Nebraska, United States",TEI,development,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,digital archive,4
2013-01-01,"Lincoln, Nebraska, United States",TEI,digital collections,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,digital content,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,digital edition,3
2013-01-01,"Lincoln, Nebraska, United States",TEI,digital editions,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,digital fabrication,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,digital humanities,5
2013-01-01,"Lincoln, Nebraska, United States",TEI,digital humanities facilities,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,digital humanities institutional support,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,digital imaging,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,digital thematic research collections,5
2013-01-01,"Lincoln, Nebraska, United States",TEI,digitalization,14
2013-01-01,"Lincoln, Nebraska, United States",TEI,digitisation,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,disability,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,early modern manuscript,4
2013-01-01,"Lincoln, Nebraska, United States",TEI,ecology,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,education,4
2013-01-01,"Lincoln, Nebraska, United States",TEI,eebo-tcp,18
2013-01-01,"Lincoln, Nebraska, United States",TEI,embedded system,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,encoding,34
2013-01-01,"Lincoln, Nebraska, United States",TEI,endangered languages,4
2013-01-01,"Lincoln, Nebraska, United States",TEI,environment,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,epub,18
2013-01-01,"Lincoln, Nebraska, United States",TEI,ethnography,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,frbr,14
2013-01-01,"Lincoln, Nebraska, United States",TEI,french classical theater,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,functional programming,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,genre,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,geo-spatial annotations,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,gephi,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,german studies,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,gis,7
2013-01-01,"Lincoln, Nebraska, United States",TEI,hispanic studies,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,historical,5
2013-01-01,"Lincoln, Nebraska, United States",TEI,historical financial records,4
2013-01-01,"Lincoln, Nebraska, United States",TEI,history,8
2013-01-01,"Lincoln, Nebraska, United States",TEI,history of the book,14
2013-01-01,"Lincoln, Nebraska, United States",TEI,holocaust literature,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,hosting environment,3
2013-01-01,"Lincoln, Nebraska, United States",TEI,html,3
2013-01-01,"Lincoln, Nebraska, United States",TEI,html5,39
2013-01-01,"Lincoln, Nebraska, United States",TEI,image calibration tool,4
2013-01-01,"Lincoln, Nebraska, United States",TEI,image search,4
2013-01-01,"Lincoln, Nebraska, United States",TEI,image-based electronic editions,3
2013-01-01,"Lincoln, Nebraska, United States",TEI,import,15
2013-01-01,"Lincoln, Nebraska, United States",TEI,indexing,18
2013-01-01,"Lincoln, Nebraska, United States",TEI,infrastructure,3
2013-01-01,"Lincoln, Nebraska, United States",TEI,interactive,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,interdisciplinary interoperability,6
2013-01-01,"Lincoln, Nebraska, United States",TEI,interdisciplinary research,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,interface,18
2013-01-01,"Lincoln, Nebraska, United States",TEI,interoperability,5
2013-01-01,"Lincoln, Nebraska, United States",TEI,introductory programming course,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,islandora,48
2013-01-01,"Lincoln, Nebraska, United States",TEI,javascript,39
2013-01-01,"Lincoln, Nebraska, United States",TEI,knitting,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,knowledge representation,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,lexicon tool,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,liberal arts,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,libraries,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,linked data,49
2013-01-01,"Lincoln, Nebraska, United States",TEI,literary communities,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,lmnl,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,loose coupling,5
2013-01-01,"Lincoln, Nebraska, United States",TEI,manuscript,3
2013-01-01,"Lincoln, Nebraska, United States",TEI,maps,7
2013-01-01,"Lincoln, Nebraska, United States",TEI,markup,6
2013-01-01,"Lincoln, Nebraska, United States",TEI,material culture,14
2013-01-01,"Lincoln, Nebraska, United States",TEI,materiality,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,model,4
2013-01-01,"Lincoln, Nebraska, United States",TEI,mutimedia,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,network analysis,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,ngram,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,nineteenth-century american history,5
2013-01-01,"Lincoln, Nebraska, United States",TEI,online bibliography,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,online community,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,ontologies,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,ontology,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,open hardware,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,oral history,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,overlap,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,paintings,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,paratext,3
2013-01-01,"Lincoln, Nebraska, United States",TEI,parchment,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,pedagogy,3
2013-01-01,"Lincoln, Nebraska, United States",TEI,pegagogy,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,personal manufacturing,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,platform,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,poetry,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,praxis,3
2013-01-01,"Lincoln, Nebraska, United States",TEI,preservation,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,project management,4
2013-01-01,"Lincoln, Nebraska, United States",TEI,prosopography,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,provenancing,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,publication,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,queer history,7
2013-01-01,"Lincoln, Nebraska, United States",TEI,rdf,55
2013-01-01,"Lincoln, Nebraska, United States",TEI,recommendations,6
2013-01-01,"Lincoln, Nebraska, United States",TEI,resource,3
2013-01-01,"Lincoln, Nebraska, United States",TEI,reuse,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,reverse image lookup,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,scholarly editing,2
2013-01-01,"Lincoln, Nebraska, United States",TEI,search,3
2013-01-01,"Lincoln, Nebraska, United States",TEI,semantic enhancement,1
2013-01-01,"Lincoln, Nebraska, United States",TEI,semantic web,50
